timestamp,sensor,value,raw
2026-05-16T10:00:00Z,bed/1,60.00,550
2026-05-16T10:00:30Z,bed/1,59.90,551
2026-05-16T10:01:00Z,bed/1,59.80,552
2026-05-16T10:01:30Z,bed/1,59.69,553
2026-05-16T10:02:00Z,bed/1,59.59,554
2026-05-16T10:02:30Z,bed/1,59.47,555
2026-05-16T10:03:00Z,bed/1,59.35,556
2026-05-16T10:03:30Z,bed/1,59.23,557
2026-05-16T10:04:00Z,bed/1,59.09,559
2026-05-16T10:04:30Z,bed/1,58.95,560
2026-05-16T10:05:00Z,bed/1,58.80,562
2026-05-16T10:05:30Z,bed/1,58.64,563
2026-05-16T10:06:00Z,bed/1,58.47,565
2026-05-16T10:06:30Z,bed/1,58.30,567
2026-05-16T10:07:00Z,bed/1,58.12,568
2026-05-16T10:07:30Z,bed/1,57.93,570
2026-05-16T10:08:00Z,bed/1,57.74,572
2026-05-16T10:08:30Z,bed/1,57.54,574
2026-05-16T10:09:00Z,bed/1,57.34,576
2026-05-16T10:09:30Z,bed/1,57.14,578
2026-05-16T10:10:00Z,bed/1,56.94,580
2026-05-16T10:10:30Z,bed/1,56.74,582
2026-05-16T10:11:00Z,bed/1,56.55,584
2026-05-16T10:11:30Z,bed/1,56.36,586
2026-05-16T10:12:00Z,bed/1,56.17,588
2026-05-16T10:12:30Z,bed/1,55.99,590
2026-05-16T10:13:00Z,bed/1,55.82,591
2026-05-16T10:13:30Z,bed/1,55.66,593
2026-05-16T10:14:00Z,bed/1,55.50,594
2026-05-16T10:14:30Z,bed/1,55.35,596
2026-05-16T10:15:00Z,bed/1,55.21,597
2026-05-16T10:15:30Z,bed/1,55.08,599
2026-05-16T10:16:00Z,bed/1,54.96,600
2026-05-16T10:16:30Z,bed/1,54.84,601
2026-05-16T10:17:00Z,bed/1,54.73,602
2026-05-16T10:17:30Z,bed/1,54.62,603
2026-05-16T10:18:00Z,bed/1,54.52,604
2026-05-16T10:18:30Z,bed/1,54.42,605
2026-05-16T10:19:00Z,bed/1,54.32,606
2026-05-16T10:19:30Z,bed/1,54.21,607
2026-05-16T10:20:00Z,bed/1,50.00,650
2026-05-16T10:20:30Z,bed/1,50.00,650
2026-05-16T10:21:00Z,bed/1,50.00,650
2026-05-16T10:21:30Z,bed/1,50.00,650
2026-05-16T10:22:00Z,bed/1,50.00,650
2026-05-16T10:22:30Z,bed/1,50.00,650
2026-05-16T10:23:00Z,bed/1,50.00,650
2026-05-16T10:23:30Z,bed/1,53.25,617
2026-05-16T10:24:00Z,bed/1,53.10,619
2026-05-16T10:24:30Z,bed/1,52.94,620
2026-05-16T10:25:00Z,bed/1,52.77,622
2026-05-16T10:25:30Z,bed/1,52.59,624
2026-05-16T10:26:00Z,bed/1,52.41,625
2026-05-16T10:26:30Z,bed/1,52.22,627
2026-05-16T10:27:00Z,bed/1,52.02,629
2026-05-16T10:27:30Z,bed/1,51.83,631
2026-05-16T10:28:00Z,bed/1,51.63,633
2026-05-16T10:28:30Z,bed/1,51.43,635
2026-05-16T10:29:00Z,bed/1,51.23,637
2026-05-16T10:29:30Z,bed/1,51.03,639
2026-05-16T10:30:00Z,bed/1,50.84,641
2026-05-16T10:30:30Z,bed/1,50.65,643
2026-05-16T10:31:00Z,bed/1,50.46,645
2026-05-16T10:31:30Z,bed/1,50.29,647
2026-05-16T10:32:00Z,bed/1,50.12,648
2026-05-16T10:32:30Z,bed/1,49.95,650
2026-05-16T10:33:00Z,bed/1,49.80,651
2026-05-16T10:33:30Z,bed/1,49.65,653
2026-05-16T10:34:00Z,bed/1,49.52,654
2026-05-16T10:34:30Z,bed/1,49.39,656
2026-05-16T10:35:00Z,bed/1,49.27,657
2026-05-16T10:35:30Z,bed/1,49.15,658
2026-05-16T10:36:00Z,bed/1,49.04,659
2026-05-16T10:36:30Z,bed/1,48.93,660
2026-05-16T10:37:00Z,bed/1,48.83,661
2026-05-16T10:37:30Z,bed/1,48.73,662
2026-05-16T10:38:00Z,bed/1,48.63,663
2026-05-16T10:38:30Z,bed/1,48.53,664
2026-05-16T10:39:00Z,bed/1,48.43,665
2026-05-16T10:39:30Z,bed/1,48.32,666
2026-05-16T10:40:00Z,bed/1,48.21,667
2026-05-16T10:40:30Z,bed/1,48.09,669
2026-05-16T10:41:00Z,bed/1,47.97,670
2026-05-16T10:41:30Z,bed/1,47.84,671
2026-05-16T10:42:00Z,bed/1,47.70,673
2026-05-16T10:42:30Z,bed/1,47.55,674
2026-05-16T10:43:00Z,bed/1,47.39,676
2026-05-16T10:43:30Z,bed/1,47.23,677
2026-05-16T10:44:00Z,bed/1,47.06,679
2026-05-16T10:44:30Z,bed/1,46.88,681
2026-05-16T10:45:00Z,bed/1,46.70,683
2026-05-16T10:45:30Z,bed/1,46.50,684
2026-05-16T10:46:00Z,bed/1,46.31,686
2026-05-16T10:46:30Z,bed/1,46.11,688
2026-05-16T10:47:00Z,bed/1,45.91,690
2026-05-16T10:47:30Z,bed/1,45.71,692
2026-05-16T10:48:00Z,bed/1,45.51,694
2026-05-16T10:48:30Z,bed/1,45.32,696
2026-05-16T10:49:00Z,bed/1,45.12,698
2026-05-16T10:49:30Z,bed/1,44.94,700
